Brno,582786,Brno-město,CZ0642,Jihomoravský kraj,CZ064,60200,49.195160,16.606937
České Budějovice,544256,České Budějovice,CZ0311,Jihočeský kraj,CZ031,37001,48.975758,14.480355
Hradec Králové,569810,Hradec Králové,CZ0521,Královéhradecký kraj,CZ052,50002,50.210461,15.825311
Jihlava,586846,Jihlava,CZ0632,Kraj Vysočina,CZ063,58601,49.415860,15.595469
Karlovy Vary,554961,Karlovy Vary,CZ0412,Karlovarský kraj,CZ041,36001,50.231952,12.872062
Liberec,563889,Liberec,CZ0513,Liberecký kraj,CZ051,46001,50.766380,15.054439
Olomouc,500496,Olomouc,CZ0712,Olomoucký kraj,CZ071,77900,49.593878,17.250979
Ostrava,554821,Ostrava-město,CZ0806,Moravskoslezský kraj,CZ080,70200,49.821023,18.262624
Pardubice,555134,Pardubice,CZ0532,Pardubický kraj,CZ053,53002,50.034409,15.781299
Plzeň,554791,Plzeň-město,CZ0323,Plzeňský kraj,CZ032,30100,49.738531,13.373737
Praha,554782,Praha,CZ0100,Hlavní město Praha,CZ010,11000,50.075638,14.437900
Ústí nad Labem,554804,Ústí nad Labem,CZ0427,Ústecký kraj,CZ042,40001,50.661216,14.053246
Zlín,585068,Zlín,CZ0724,Zlínský kraj,CZ072,76001,49.224537,17.662863
