Brno,582786,Brno-město,CZ0642,Jihomoravský kraj,CZ064,60200,49.195160,16.606937
Brod nad Dyjí,584355,Břeclav,CZ0644,Jihomoravský kraj,CZ064,69181,48.875309,16.535482
Brod nad Tichou,541605,Tachov,CZ0327,Plzeňský kraj,CZ032,34815,49.835396,12.741203
Brodce,535559,Mladá Boleslav,CZ0207,Středočeský kraj,CZ020,29473,50.330780,14.869280
Brodec,546895,Louny,CZ0424,Ústecký kraj,CZ042,44001,50.295025,13.801725
Brodek u Konice,589314,Prostějov,CZ0713,Olomoucký kraj,CZ071,79846,49.548791,16.832970
Brodek u Prostějova,589322,Prostějov,CZ0713,Olomoucký kraj,CZ071,79807,49.370064,17.090164
Brodek u Přerova,512800,Přerov,CZ0714,Olomoucký kraj,CZ071,75103,49.484289,17.338354
Brodeslavy,566489,Plzeň-sever,CZ0325,Plzeňský kraj,CZ032,33141,49.953778,13.557097
Broumov,573922,Náchod,CZ0523,Královéhradecký kraj,CZ052,55001,50.585758,16.331915
Broumov,541401,Tachov,CZ0327,Plzeňský kraj,CZ032,34815,49.889478,12.606805
Broumy,531081,Beroun,CZ0202,Středočeský kraj,CZ020,26742,49.955171,13.852368
Brozany nad Ohří,564621,Litoměřice,CZ0423,Ústecký kraj,CZ042,41181,50.453763,14.145512
Brtnice,586943,Jihlava,CZ0632,Kraj Vysočina,CZ063,58832,49.307047,15.676522
Brtnička,590371,Jihlava,CZ0632,Kraj Vysočina,CZ063,67527,49.237281,15.624317
Brťov-Jeneč,581381,Blansko,CZ0641,Jihomoravský kraj,CZ064,67921,49.413781,16.517076
Brumov,581402,Brno-venkov,CZ0643,Jihomoravský kraj,CZ064,67923,49.462484,16.425856
Brumov-Bylnice,585114,Zlín,CZ0724,Zlínský kraj,CZ072,76331,49.092465,18.022809
Brumovice,584363,Břeclav,CZ0644,Jihomoravský kraj,CZ064,69111,48.960895,16.896260
Brumovice,506320,Opava,CZ0805,Moravskoslezský kraj,CZ080,74771,50.015393,17.749685
Bruntál,597180,Bruntál,CZ0801,Moravskoslezský kraj,CZ080,79201,49.988277,17.463794
Brusné,588377,Kroměříž,CZ0721,Zlínský kraj,CZ072,76861,49.363440,17.660807
Brušperk,598038,Frýdek-Místek,CZ0802,Moravskoslezský kraj,CZ080,73944,49.700196,18.222205
